#,Word,Hiragana,Romaji,Type,Meaning,Learning Status,Level
1.0,浴びる,あびる,abiru,"Verb, Ichidan verb, Transitive verb","to bathe, to shower",unseen,N5
2.0,危ない,あぶない,abunai,"Adjective, い-adjective",dangerous,unseen,N5
3.0,あっち,,acchi,Pronoun,over there,unseen,N5
4.0,あちら,,achira,Pronoun,there,unseen,N5
5.0,上げる,あげる,ageru,"Verb, Ichidan verb, Transitive verb",to raise; to elevate; to give,unseen,N5
6.0,赤,あか,aka,Noun,red; crimson; scarlet​,unseen,N5
7.0,赤い,あかい,akai,"Adjective, い-adjective",red; crimson; scarlet​,unseen,N5
8.0,明るい,あかるい,akarui,"Adjective, い-adjective",bright; light,unseen,N5
9.0,開ける,あける,akeru,"Verb, Ichidan verb, Transitive verb","to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock",unseen,N5
10.0,秋,あき,aki,Noun,autumn; fall,unseen,N5
11.0,開く,あく,aku,"Verb, Godan verb, Intransitive verb","to open (e.g. doors, business, etc)",unseen,N5
12.0,甘い,あまい,amai,"Adjective, い-adjective",sweet; sweet-tasting; sugary; naive; indulgent,unseen,N5
13.0,雨,あめ,ame,Noun,rain,unseen,N5
14.0,飴,あめ,ame,Noun,candy,unseen,N5
15.0,あなた,,anata,Pronoun,you,unseen,N5
16.0,姉,あね,ane,Noun,older sister; elder sister​,unseen,N5
17.0,兄,あに,ani,Noun,elder brother; older brother​,unseen,N5
18.0,あの,,ano,Pre-noun adjectival,that,unseen,N5
19.0,青,あお,ao,Noun,blue; azure,unseen,N5
20.0,青い,あおい,aoi,"Adjective, い-adjective",blue; azure,unseen,N5
21.0,アパート,,apaato,"Noun, Katakana",apartment,unseen,N5
22.0,洗う,あらう,arau,"Verb, Godan verb, Transitive verb",to wash,unseen,N5
23.0,あれ,,are,Pronoun,that,unseen,N5
24.0,ある,,aru,"Verb, Godan verb, Intransitive verb","to be, to have",unseen,N5
25.0,歩く,あるく,aruku,"Verb, Godan verb, Intransitive verb",to walk,unseen,N5
26.0,朝,あさ,asa,Noun,morning,unseen,N5
27.0,朝ご飯,あさごはん,asagohan,Noun,breakfast,unseen,N5
28.0,明後日,あさって,asatte,Noun,day after tomorrow,unseen,N5
29.0,足,あし,ashi,Noun,foot; leg; paw; arm,unseen,N5
30.0,明日,あした,ashita,"Noun, Temporal noun",tomorrow,unseen,N5
31.0,遊ぶ,あそぶ,asobu,"Verb, Godan verb, Intransitive verb",to play; to enjoy oneself,unseen,N5
32.0,あそこ,,asoko,Pronoun,over there,unseen,N5
33.0,頭,あたま,atama,Noun,head,unseen,N5
34.0,新しい,あたらしい,atarashii,"Adjective, い-adjective",new; novel; fresh; recent; latest,unseen,N5
35.0,暖かい,あたたかい,atatakai,"Adjective, い-adjective",warm,unseen,N5
36.0,後,あと,ato,Noun,behind; after; remainder; left; also,unseen,N5
37.0,暑い,あつい,atsui,"Adjective, い-adjective",hot; sultry,unseen,N5
38.0,厚い,あつい,atsui,"Adjective, い-adjective",thick,unseen,N5
39.0,熱い,あつい,atsui,"Adjective, い-adjective",hot,unseen,N5
40.0,会う,あう,au,"Verb, Godan verb, Intransitive verb",to meet; to encounter; to see,unseen,N5
41.0,晩ご飯,ばんごはん,bangohan,Noun,dinner; evening meal,unseen,N5
42.0,番号,ばんごう,bangou,Noun,number,unseen,N5
43.0,バス,,basu,"Noun, Katakana",bus,unseen,N5
44.0,バター,,bataa,"Noun, Katakana",butter​,unseen,N5
45.0,ベッド,,beddo,"Noun, Katakana",bed,unseen,N5
46.0,勉強,べんきょう,benkyou,"Noun, Suru verb",to study,unseen,N5
47.0,便利,べんり,benri,な-adjective,convenient; handy; useful,unseen,N5
48.0,ボールペン,,boorupen,"Noun, Katakana",ball-point pen,unseen,N5
49.0,ボタン,,botan,"Noun, Katakana",button,unseen,N5
50.0,帽子,ぼうし,boushi,Noun,hat; cap,unseen,N5
51.0,文章,ぶんしょう,bunshou,Noun,sentence,unseen,N5
52.0,豚肉,ぶたにく,butaniku,Noun,pork,unseen,N5
53.0,病院,びょういん,byouin,Noun,hospital,unseen,N5
54.0,病気,びょうき,byouki,Noun,illness; disease; sickness,unseen,N5
55.0,茶色,ちゃいろ,chairo,Noun,brown,unseen,N5
56.0,茶碗,ちゃわん,chawan,Noun,rice bowl; tea cup; teacup,unseen,N5
57.0,父,ちち,chichi,Noun,father,unseen,N5
58.0,違う,ちがう,chigau,"Verb, Godan verb, Intransitive verb",to differ,unseen,N5
59.0,小さい,ちいさい,chiisai,"Adjective, い-adjective",small; little; tiny,unseen,N5
60.0,小さな,ちいさな,chiisana,Pre-noun adjectival,small; little; tiny​,unseen,N5
61.0,近い,ちかい,chikai,い-adjective,near; close,unseen,N5
62.0,地下鉄,ちかてつ,chikatetsu,Noun,subway; underground train,unseen,N5
63.0,地図,ちず,chizu,Noun,map,unseen,N5
64.0,ちょっと,,chotto,Adverb,a little,unseen,N5
65.0,丁度,ちょうど,choudo,Adverb,exactly,unseen,N5
66.0,台所,だいどころ,daidokoro,Noun,kitchen,unseen,N5
67.0,大学,だいがく,daigaku,Noun,university; college,unseen,N5
68.0,大丈夫,だいじょうぶ,daijoubu,"Adjective, な-adjective, Adverb",OK; okay; alright; problem free,unseen,N5
69.0,大好き,だいすき,daisuki,"Adjective, な-adjective",love; like; like very much,unseen,N5
70.0,だんだん,,dandan,Adverb,gradually,unseen,N5
71.0,誰,だれ,dare,Pronoun,who,unseen,N5
72.0,誰か,だれか,dareka,Pronoun,someone; somebody,unseen,N5
73.0,出す,だす,dasu,"Verb, Godan verb, Transitive verb",to take out; to get out; to put out; to reveal,unseen,N5
74.0,出口,でぐち,deguchi,Noun,exit; gateway; way out,unseen,N5
75.0,出かける,でかける,dekakeru,"Verb, Ichidan verb, Intransitive verb",to go out; to leave; to depart,unseen,N5
76.0,電気,でんき,denki,Noun,electricity,unseen,N5
77.0,電車,でんしゃ,densha,Noun,train; electric train,unseen,N5
78.0,電話,でんわ,denwa,"Noun, Verb, Suru verb",telephone (call / device)l; phone call,unseen,N5
79.0,デパート,,depaato,"Noun, Katakana",department store,unseen,N5
80.0,出る,でる,deru,"Verb, Ichidan verb, Intransitive verb",to leave; to exit; to appear; to go out,unseen,N5
81.0,ドア,,doa,"Noun, Katakana",door,unseen,N5
82.0,どっち,,docchi,Pronoun,which; which one,unseen,N5
83.0,どちら,,dochira,Pronoun,which of two,unseen,N5
84.0,どこ,,doko,Pronoun,where; what place​,unseen,N5
85.0,どなた,,donata,Noun,who,unseen,N5
86.0,どの,,dono,Pre-noun adjectival,which,unseen,N5
87.0,どれ,,dore,Pronoun,which (of three or more)​,unseen,N5
88.0,どう,,dou,Adverb,how; in what way; how about​,unseen,N5
89.0,動物,どうぶつ,doubutsu,Noun,animal,unseen,N5
90.0,どうも,,doumo,Adverb,thank you; thanks,unseen,N5
91.0,どうぞ,,douzo,Adverb,please,unseen,N5
92.0,土曜日,どようび,doyoubi,Noun,Saturday,unseen,N5
93.0,絵,え,e,Noun,picture,unseen,N5
94.0,ええ,,ee,Noun,yes; that is correct; right,unseen,N5
95.0,映画,えいが,eiga,Noun,movie; film,unseen,N5
96.0,映画館,えいがかん,eigakan,Noun,movie theater; cinema,unseen,N5
97.0,英語,えいご,eigo,Noun,English language,unseen,N5
98.0,駅,えき,eki,Noun,station,unseen,N5
99.0,鉛筆,えんぴつ,enpitsu,Noun,pencil,unseen,N5
100.0,エレベーター,,erebeetaa,"Noun, Katakana",elevator,unseen,N5
101.0,フィルム,,firumu,"Noun, Katakana",film,unseen,N5
102.0,フォーク,,fooku,"Noun, Katakana",fork,unseen,N5
103.0,服,ふく,fuku,Noun,clothes,unseen,N5
104.0,吹く,ふく,fuku,"Verb, Godan verb, Intransitive verb",to blow (of the wind),unseen,N5
105.0,降る,ふる,furu,"Verb, Godan verb, Intransitive verb",to fall,unseen,N5
106.0,古い,ふるい,furui,い-adjective,old (not used for people),unseen,N5
107.0,二人,ふたり,futari,Noun,two people; pair; couple,unseen,N5
108.0,二つ,ふたつ,futatsu,"Noun, Numeric",two; 2,unseen,N5
109.0,太い,ふとい,futoi,"Adjective, い-adjective",fat; thick,unseen,N5
110.0,二日,ふつか,futsuka,Noun,the second day of the month / 2 days,unseen,N5
111.0,封筒,ふうとう,fuutou,Noun,envelope,unseen,N5
112.0,冬,ふゆ,fuyu,Noun,winter,unseen,N5
