#,ごい,Vocabulary,Type,Meaning,Learning Status,Level
1,浴びる,abiru,"Verb, Ichidan verb, Transitive verb","to bathe, to shower",unseen,N5
,,あびる,,,unseen,N5
2,危ない,abunai,"Adjective, い-adjective",dangerous,unseen,N5
,,あぶない,,,unseen,N5
3,あっち,acchi,Pronoun,over there,unseen,N5
,,,,,,
4,あちら,achira,Pronoun,there,unseen,N5
,,,,,,
5,上げる,ageru,"Verb, Ichidan verb, Transitive verb",to raise; to elevate; to give,unseen,N5
,,あげる,,,unseen,N5
6,赤,aka,Noun,red; crimson; scarlet​,unseen,N5
,,あか,,,unseen,N5
7,赤い,akai,"Adjective, い-adjective",red; crimson; scarlet​,unseen,N5
,,あかい,,,unseen,N5
8,明るい,akarui,"Adjective, い-adjective",bright; light,unseen,N5
,,あかるい,,,unseen,N5
9,開ける,akeru,"Verb, Ichidan verb, Transitive verb","to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock",unseen,N5
,,あける,,,unseen,N5
10,秋,aki,Noun,autumn; fall,unseen,N5
,,あき,,,unseen,N5
11,開く,aku,"Verb, Godan verb, Intransitive verb","to open (e.g. doors, business, etc)",unseen,N5
,,あく,,,unseen,N5
12,甘い,amai,"Adjective, い-adjective",sweet; sweet-tasting; sugary; naive; indulgent,unseen,N5
,,あまい,,,unseen,N5
13,雨,ame,Noun,rain,unseen,N5
,,あめ,,,unseen,N5
14,飴,ame,Noun,candy,unseen,N5
,,あめ,,,unseen,N5
15,あなた,anata,Pronoun,you,unseen,N5
,,,,,,
16,姉,ane,Noun,older sister; elder sister​,unseen,N5
,,あね,,,unseen,N5
17,兄,ani,Noun,elder brother; older brother​,unseen,N5
,,あに,,,unseen,N5
18,あの,ano,Pre-noun adjectival,that,unseen,N5
,,,,,,
19,青,ao,Noun,blue; azure,unseen,N5
,,あお,,,unseen,N5
20,青い,aoi,"Adjective, い-adjective",blue; azure,unseen,N5
,,あおい,,,unseen,N5
21,アパート,apaato,"Noun, Katakana",apartment,unseen,N5
,,,,,,
22,洗う,arau,"Verb, Godan verb, Transitive verb",to wash,unseen,N5
,,あらう,,,unseen,N5
23,あれ,are,Pronoun,that,unseen,N5
,,,,,,
24,ある,aru,"Verb, Godan verb, Intransitive verb","to be, to have",unseen,N5
,,,,,,
25,歩く,aruku,"Verb, Godan verb, Intransitive verb",to walk,unseen,N5
,,あるく,,,unseen,N5
26,朝,asa,Noun,morning,unseen,N5
,,あさ,,,unseen,N5
27,朝ご飯,asagohan,Noun,breakfast,unseen,N5
,,あさごはん,,,unseen,N5
28,明後日,asatte,Noun,day after tomorrow,unseen,N5
,,あさって,,,unseen,N5
29,足,ashi,Noun,foot; leg; paw; arm,unseen,N5
,,あし,,,unseen,N5
30,明日,ashita,"Noun, Temporal noun",tomorrow,unseen,N5
,,あした,,,unseen,N5
31,遊ぶ,asobu,"Verb, Godan verb, Intransitive verb",to play; to enjoy oneself,unseen,N5
,,あそぶ,,,unseen,N5
32,あそこ,asoko,Pronoun,over there,unseen,N5
,,,,,,
33,頭,atama,Noun,head,unseen,N5
,,あたま,,,unseen,N5
34,新しい,atarashii,"Adjective, い-adjective",new; novel; fresh; recent; latest,unseen,N5
,,あたらしい,,,unseen,N5
35,暖かい,atatakai,"Adjective, い-adjective",warm,unseen,N5
,,あたたかい,,,unseen,N5
36,後,ato,Noun,behind; after; remainder; left; also,unseen,N5
,,あと,,,unseen,N5
37,暑い,atsui,"Adjective, い-adjective",hot; sultry,unseen,N5
,,あつい,,,unseen,N5
38,厚い,atsui,"Adjective, い-adjective",thick,unseen,N5
,,あつい,,,unseen,N5
39,熱い,atsui,"Adjective, い-adjective",hot,unseen,N5
,,あつい,,,unseen,N5
40,会う,au,"Verb, Godan verb, Intransitive verb",to meet; to encounter; to see,unseen,N5
,,あう,,,unseen,N5
41,晩ご飯,bangohan,Noun,dinner; evening meal,unseen,N5
,,ばんごはん,,,unseen,N5
42,番号,bangou,Noun,number,unseen,N5
,,ばんごう,,,unseen,N5
43,バス,basu,"Noun, Katakana",bus,unseen,N5
,,,,,,
44,バター,bataa,"Noun, Katakana",butter​,unseen,N5
,,,,,,
45,ベッド,beddo,"Noun, Katakana",bed,unseen,N5
,,,,,,
46,勉強,benkyou,"Noun, Suru verb",to study,unseen,N5
,,べんきょう,,,unseen,N5
47,便利,benri,な-adjective,convenient; handy; useful,unseen,N5
,,べんり,,,unseen,N5
48,ボールペン,boorupen,"Noun, Katakana",ball-point pen,unseen,N5
,,,,,,
49,ボタン,botan,"Noun, Katakana",button,unseen,N5
,,,,,,
50,帽子,boushi,Noun,hat; cap,unseen,N5
,,ぼうし,,,unseen,N5
51,文章,bunshou,Noun,sentence,unseen,N5
,,ぶんしょう,,,unseen,N5
52,豚肉,butaniku,Noun,pork,unseen,N5
,,ぶたにく,,,unseen,N5
53,病院,byouin,Noun,hospital,unseen,N5
,,びょういん,,,unseen,N5
54,病気,byouki,Noun,illness; disease; sickness,unseen,N5
,,びょうき,,,unseen,N5
55,茶色,chairo,Noun,brown,unseen,N5
,,ちゃいろ,,,unseen,N5
56,茶碗,chawan,Noun,rice bowl; tea cup; teacup,unseen,N5
,,ちゃわん,,,unseen,N5
57,父,chichi,Noun,father,unseen,N5
,,ちち,,,unseen,N5
58,違う,chigau,"Verb, Godan verb, Intransitive verb",to differ,unseen,N5
,,ちがう,,,unseen,N5
59,小さい,chiisai,"Adjective, い-adjective",small; little; tiny,unseen,N5
,,ちいさい,,,unseen,N5
60,小さな,chiisana,Pre-noun adjectival,small; little; tiny​,unseen,N5
,,ちいさな,,,unseen,N5
61,近い,chikai,い-adjective,near; close,unseen,N5
,,ちかい,,,unseen,N5
62,地下鉄,chikatetsu,Noun,subway; underground train,unseen,N5
,,ちかてつ,,,unseen,N5
63,地図,chizu,Noun,map,unseen,N5
,,ちず,,,unseen,N5
64,ちょっと,chotto,Adverb,a little,unseen,N5
,,,,,,
65,丁度,choudo,Adverb,exactly,unseen,N5
,,ちょうど,,,unseen,N5
66,台所,daidokoro,Noun,kitchen,unseen,N5
,,だいどころ,,,unseen,N5
67,大学,daigaku,Noun,university; college,unseen,N5
,,だいがく,,,unseen,N5
68,大丈夫,daijoubu,"Adjective, な-adjective, Adverb",OK; okay; alright; problem free,unseen,N5
,,だいじょうぶ,,,unseen,N5
69,大好き,daisuki,"Adjective, な-adjective",love; like; like very much,unseen,N5
,,だいすき,,,unseen,N5
70,だんだん,dandan,Adverb,gradually,unseen,N5
,,,,,,
71,誰,dare,Pronoun,who,unseen,N5
,,だれ,,,unseen,N5
72,誰か,dareka,Pronoun,someone; somebody,unseen,N5
,,だれか,,,unseen,N5
73,出す,dasu,"Verb, Godan verb, Transitive verb",to take out; to get out; to put out; to reveal,unseen,N5
,,だす,,,unseen,N5
74,出口,deguchi,Noun,exit; gateway; way out,unseen,N5
,,でぐち,,,unseen,N5
